country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,98.8,,,98.8
Algeria,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,90.1,,,,91.8,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,,,,,,,,,,73
Argentina,,,,,,96.9,,,,,,,,,,,98.3,,,,,,,,,,98.9,,,,,,,,,,99.2
Armenia,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,99.8,,,,,,,,,,99.8
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,100,,100,,
Bahrain,,,,,,,86.3,,,,,,,,,,96.9,,,,,,,,,,97,,,,,,,,,98.2,
Bangladesh,,,,,,,35.6,,,,,,,,,,44.7,,,,,,,,,,63.6,,,,,,,,,,78.7
Belarus,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Belize,,,,,,,,,,,,,,,,,76.4,,,,,,,,,,,,,,,,,,,,
Benin,,,,,29.8,,,,,,,,,,,,,39.9,,,,,,,,,,45.3,,,,42.4,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4,,,,,,
Bolivia,,83.5,,,,,,,,,,,,,,,,93.9,,,,,,,,,97.3,,,,,,99.4,99.1,99.4,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.7
Botswana,,,,,,,,,,,,,,,,,89.3,,,,,,,,,,,,94,,,,,,,,95.2
Brazil,,,,,,83.9,,,,,,,,,,,,,,,,,,,,94.2,,,,96.8,,97.6,97.8,97.8,98.1,97.5,
Brunei,,,,,,,93.7,,,,,,,,,,98.1,,,,,,,,,,98.9,,,,,,,,,,99.8
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,,,97.9
Burkina Faso,14.4,,,,,,,,,,,,,,,,20.2,,,,,19.4,,,,,,,31.2,,33,,39.3,,,,
Burundi,,,,,31,,,,,,,,,,,53.6,,,,,,,,,,73.3,,,,,,,,88.9,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,76.3,,,,,,83.4,,,,87.5,87.1,,
Cameroon,,68.8,,,,,,,,,,,,,,,,,,,,,,,,83.1,,,,,,,83.1,,,80.6,
Cape Verde,,,,,,,,,,,,,,,,88.2,,,,,,,,,,,,,,97.1,,,,,,,98.4
Central African Republic,34.5,,,,,,,,,,,,,48.2,,,,,,,,,,,,60.8,,,,,,,,,,,65.6
Chad,,,,,,,,,,,,,,,,,,,17.4,,,,,,,37.6,,,,41.7,,,,,,,47.9
Chile,,,,,,,,96.7,,,,,,,,,,98.4,,,,,,,,,,99,,,,,,99.2,98.9,,
China,,,,,,,,88.8,,,,,,,,94.3,,,,,,,,,,98.9,,,,,,,,,,99.6,
Colombia,,,,,,,,,,,,,,,,,,,90.5,,,97,,,,,,,,98,98,97.9,98,98,97.9,98.1,98.2
Comoros,,,,,,61.7,,,,,,,,,,,,,,,,,,,,80.2,,,,,,,,,,,86
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,,,,,,65.8,,,,
Costa Rica,,,,,,,,,,97.2,,,,,,,,,,,,,,,,97.6,,,,,,,,,,,98.3
Cote d'Ivoire,,,,,,,,,,,,,,48.5,,,,,,,,,,47.1,,60.7,,,,,,,,,,,67.5
Croatia,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,99.7,,,,,,,,,,99.7
Cuba,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100
Cyprus,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,99.8,,,,,,,,,,99.8
Dominican Republic,,,,,,,82.6,,,,,,,,,,,,,,,,,,,,,94.2,,,,,95.8,,,96.8,97
Ecuador,,,,,,,,93.4,,,,,,,,96.2,,,,,,,,,,,96.4,,,,,,95.4,,96.8,98.7,98.7
Egypt,,51,,,,,,,,,,63.3,,,,,,,,,,73.2,,,,,,,,,84.9,84.9,,,,87.5,88.4
El Salvador,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,89,,95,93.6,96,95,96,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,,,,,,,,,,,98.1
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,90.1
Estonia,,,,,,,,,,,,,,,99.9,,,,,,,,,,,99.8,,,,,,,,,,,99.8
Ethiopia,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,49.9,44.6,,55,,,,
Gabon,,,,,,,,,,,,,,,,,,,93.2,,,,,,,,,,,96.7,,,,,,,97.9
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,,,,,,,,,,,68.1
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,99.8
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,,,,,,,,,,85.7,
Greece,,,,,,,99,,,,,,,,,,99,,,,,,,,,,98.9,,,,,,,,,,99.3
Guatemala,,,,,,,,,,,,,,,,,,,,76,,,,,,,,82.2,,,,,,,,,87.4
Guinea,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,47.1,,,,,,,31.4,
Guinea-Bissau,,,,,36.4,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,,,73.2
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,,
Haiti,,,,,,,,51.1,,,,,,,,,,,,,,,,,,,,,81.6,,,72.3,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,,,93.9,,,95.2,95.9
Hungary,,,,,,99.4,,,,,,,,,,,,,,99.2,,,,,,,,,,99,,,,,,,98.9
India,,,,,,,53.8,,,,,,,,,,61.9,,,,,,,,,,76.4,,,,,81.1,,,,,
Indonesia,,,,,,85.4,,,,,,,,,,96.2,,,,,,,,,,,,,,98.7,,96.7,,99.5,99.5,,98.8
Iran,,56.5,,,,,,,,,,75.2,,,,,87,,,,,93,,,,,,,,,97.4,96.6,,98.7,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,,,,,,,,,,,82.4
Israel,,,,,,,,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,91.6,,,,,,,,,,,,95.6
Jordan,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,99.1,,99,,99,,,98.8,99.2
Kazakhstan,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,,,,,,,82.4,,,,
Kuwait,72.2,,,,,79,,,,,87.5,,,,,,,,,,92,,,,,,,,,,99.7,98.5,98.5,98.6,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,
Lao,,,,,,,,,,,,,,,,,,,,,71.1,,,,,80.6,78.5,,,,83.9,,,,,,
Latvia,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.8,,,,,,,,,,,99.7
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,,,,,,,,,83.2,,
Liberia,,,,,,,,,,47.6,,,,,,,,,,60,,,,,,,,,,71.2,,,49.1,,,,
Libya,,,,,,,,,,89.3,,,,,,,,,,97.9,,,,,,,,,,99.6,,,,,,,99.9
