country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,69.8,72.1,76.8,80.4,77.2,77.5,77.9,78,78.1,78.1,77.9,73.2,72.3,70.2,70.2,69.1,67.9,65.8,65.4,62.8,61.1,59.9,59.6,59.6,59,59.1,59.9,59.7,59.3,59,58.6,58.2
Albania,64,66.7,66.6,65.1,64.2,60.1,58.8,58.6,56.3,54.2,52.2,50.5,49,47,44.7,42.6,37.7,37,35.1,36.3,38.7,39,38,37.3,36.7,35.8,35.4,34,32.8,31.6,30.4,29.4
Algeria,23.5,23.4,23.6,23.5,23.4,23.9,23.4,23,23.1,22.8,22.6,22.3,23,21.2,20.8,21,20.3,19.5,18.8,17.9,17.4,16.4,14.1,14.4,13.8,13.4,13.5,13.6,13.4,13.2,13,12.9
Angola,28.7,28.2,32.6,32.6,33.1,31.8,31.2,28.4,30.3,28.6,27.9,29.9,29.3,28.4,30,31,31.4,32.9,33.9,40.2,44.5,43.8,42.2,41.7,41.8,42.1,43.6,43.4,43.1,42.7,42.1,41.6
Argentina,0.471,0.45,0.554,0.592,0.789,1.11,1.14,1.12,1.09,0.963,1.19,1.31,1.68,1.86,1.66,1.43,1.29,1.76,1.81,1.86,0.873,0.839,0.883,0.815,0.767,0.808,0.803,0.783,0.763,0.743,0.727,0.712
Armenia,37.3,44,51.3,49.5,49.3,47.1,45,46.1,44.1,43.5,43.6,41.9,39.3,38.2,35.2,32.7,30.4,30.8,34.2,31.7,33.1,31.3,29,30,31.3,30.4,30.5,29.5,28.9,28.2,27.6,27
Australia,6.58,6.39,6.45,6.16,5.95,6.13,6.24,5.95,6.02,5.96,5.79,5.45,4.94,4.58,4.49,4.3,4.2,4.19,4.08,4.01,3.59,3.54,3.41,3.62,3.31,3.44,3.39,3.36,3.32,3.27,3.21,3.15
Austria,6.61,6.38,6.24,6.6,6.69,6.55,6.25,5.91,5.67,5.8,5.43,5.5,5.28,4.93,5.26,5.21,5.45,5.27,5.43,5.4,5.18,5.05,4.92,5.08,4.82,4.72,4.68,4.61,4.56,4.5,4.46,4.42
Azerbaijan,35,37,40,43.9,44.6,44.6,42.5,40.6,41.2,40.1,38.9,37.1,34.9,35.2,36.5,35.9,34.9,38.4,32.3,32.3,32.2,31.7,31.1,31.2,31,30.9,31.8,31.7,31.4,31,30.6,30.1
Bahamas,8.52,8.46,8.93,8.63,7.15,8.1,5.47,5.51,6.76,6.72,6.78,5.61,5.19,8.05,6.34,4.35,4.16,4.92,5.06,5.46,5.46,5.44,5.33,5.53,5.73,5.75,5.9,5.86,5.85,5.83,5.82,5.81
Bahrain,2.88,2.88,2.5,2.43,2.28,2.26,2.19,2.06,2.05,2.03,1.92,1.78,1.66,1.52,1.54,1.48,1.41,1.38,1.31,1.36,1.4,1.34,1.3,1.24,1.18,1.22,1.28,1.29,1.3,1.31,1.3,1.28
Bangladesh,64.2,64.1,62.7,62,61.6,59.8,60.6,60.6,60.6,60.7,57.2,53.6,49.6,45.9,42,41.9,42.1,42,41.6,40.9,42.8,42.9,42,38.9,34.7,32.9,30.6,29.1,27.7,26.5,25.3,24.5
Barbados,6.46,7.99,6.39,6.1,5.53,6.13,6.33,5.13,5.23,4.12,4.79,4.88,5.42,4.14,4.27,4.47,3.48,3.06,3.78,3.71,4.32,3.4,3.74,4.38,4.24,3.86,3.94,3.92,3.88,3.84,3.79,3.74
Belarus,26.1,27.3,26.5,26.3,28.3,27.5,25.3,23.9,23.8,22.9,21.6,20.9,19.4,18,17.4,16.3,15.2,14.2,14,13.5,12.7,12.7,12.3,12.3,12.5,12.8,13,12.7,12.4,11.9,11.6,11.3
Belgium,3.01,3.16,3.18,3.23,3.17,3.09,2.94,2.96,2.35,2.27,1.69,2.3,2.22,2.71,2.47,2.48,2.29,1.97,1.89,1.73,1.64,1.57,1.8,1.54,1.56,1.68,1.7,1.68,1.66,1.63,1.61,1.59
Belize,37.6,33.7,32.2,30.7,35.3,37.7,39.4,33,36.4,34.4,33,31.4,30.1,28.9,27.8,26.8,26.2,25.8,25.5,25,24.3,24,24,23,22.7,22.2,22.8,23,22.7,22.6,22.5,22.5
Benin,59.9,59.3,59.4,59.5,58.7,59.4,59.1,58.9,56.1,55.5,55.1,55,54.7,55.1,54.9,54.8,54.2,53.6,53.7,53.3,50.8,50.3,49.3,48.6,49.1,48.7,50.6,49.9,49,48.3,47.6,46.7
Bhutan,80.2,80.4,79.6,80,77.6,76.6,75.6,75.4,74.8,74.4,74.2,73.5,72.7,68.9,62.8,55.9,61.5,62,60.3,55,54.4,50.9,49.7,50.2,52.5,51.1,51.2,49.9,49,50,50.4,49.5
Bolivia,41.2,40.6,40.1,40.1,39.4,38.5,38.6,37,37.1,40.2,45.6,44.8,35.6,35.6,34.6,36.6,31.4,31.1,29.6,29.7,29.3,28.2,29.3,30.5,27.5,27,27.1,26.5,26.1,25.8,25.4,25
